avg_kl,token_id,gloss_with_replacement,part_of_speech
0.0,5170184,off,adv
0.0,5145621,cardinal,adj
0.0,5153816,time,n
0.0,5170203,just,adj
0.43499605361658555,5178404,world,n
0.43499605361658567,5194799,just,adv
0.3150669002545212,5162036,slip,v
0.0,5170228,plain,adj
0.0,5186617,take,v
0.40433585532663463,5104704,baby,n
0.0,5145666,woman,n
0.0,5104718,now,adv
0.0,5145678,cardinal,adj
0.0,5178449,eagles,n
0.36967849629863736,5153876,help,v
0.0,5162069,string,n
0.0,5170273,macaque,n
0.0,5153892,clean,adj
0.0,5186665,flag,n
0.8515808218307901,5096554,do,v
0.0,5162092,fall,n
0.0,5170284,unhappy,adj
0.0,5145721,right,n
0.8935360424566424,5104777,mean,v
0.0,5178513,eagles,n
0.0,5137556,spells,n
0.0,5162132,floor,n
0.0,5153945,good,adj
0.47706483018556434,5096604,water,n
0.0,5104813,toddler,n
0.0,5170349,macaque,n
0.34027225227488256,5162161,so,adv
0.30429323450498913,5121204,see,v
0.43499605361658567,5194932,just,adv
0.0,5186744,see,v
0.0,5153978,very,adv
0.0,5145788,female,n
0.0,5170369,unhappy,adj
0.0,5153992,helpful,adj
0.0,5145802,cardinal,n
0.0,5186764,letter,n
0.0,5153998,worm,n
0.0,5121233,duck,n
0.0,5186773,flag,n
0.43499605361658567,5194970,just,adv
0.36859896356980015,5186788,begins,v
1.1882523095313346,5137652,spells,v
0.2574546670651227,5129466,think,v
0.0,5162236,bead,n
0.0,5145853,seeds,n
0.09232192891179017,5096702,take,v
0.34027225227488256,5121279,home,n
0.0,5154046,knows,v
0.6795961471815891,5137669,drugs,v
0.0,5154077,do,v
0.0,5186847,sounds,v
0.0,5096739,bath,n
0.0,5121331,duck,n
0.0,5129531,girl,n
0.5820933997458537,5104956,said,v
0.43499605361658555,5113149,class,n
0.0,5154111,lot,n
0.0,5104966,baby,n
0.0,5145926,seeds,n
0.0,5195084,jog,n
0.0,5178701,birds,n
0.0,5113172,teacher,n
0.34027225227488256,5121365,home,n
0.0,5154135,things,n
0.0,5137762,drugs,n
0.0,5105008,baby,n
0.0,5121413,duck,n
0.7066982139383009,5129611,kiss,v
0.0,5113230,kiss,n
0.31506690025452116,5186972,right,adv
0.0,5146017,seeds,n
0.5847300407123246,5195169,joke,n
0.0,5129645,little,adj
0.0,5170618,poor,adj
0.0,5162434,sun,n
0.0,5170628,macaque,n
0.0,5195204,jiggle,v
0.0,5154249,there,adv
0.0,5105105,toddler,n
0.34027225227488256,5121501,home,n
0.0,5146085,now,adv
0.0,5178876,do,v
0.0,5187068,letter,n
0.0,5162498,think,v
0.0,5178886,birds,n
0.19343642248184517,5170698,take,v
0.5008608541037434,5178892,do,v
0.0,5137937,pig,n
0.0,5170708,care,n
0.0,5105174,baby,n
0.0,5129760,on,adv
0.0,5187108,see,v
0.0,5146148,tree,n
0.0,5195307,juggler,n
0.0,5154352,there,adv
0.5545177444479568,5187129,letter,n
0.0,5178943,fly,v
0.34027225227488256,5121613,home,n
0.0,5162580,paint,n
0.0,5146203,think,v
0.0,5178977,hatch,v
0.49510512897138953,5097079,want,v
0.0,5138039,pig,n
0.0,5179001,out,adv
0.2811210310524981,5121662,think,v
0.0,5162622,think,v
0.0,5105283,baby,n
0.0,5187210,page,n
0.0,5129867,pumpkin,n
0.0,5154444,umbrella,n
0.0,5146255,still,v
0.0,5105298,still,adv
0.0,5154451,stand,n
0.7153423986707825,5179028,eggs,n
0.19892427284996272,5170837,take,v
0.0,5162653,paint,v
0.0,5170851,care,n
0.0,5187246,letter,n
0.0,5138103,street,n
0.0,5121722,house,n
0.10220606160904011,5097147,take,v
0.0,5179076,birds,n
0.0,5154508,umbrellas,n
0.0,5129940,needs,v
0.0,5146325,there,adv
